REF_DATE,Origin,DGUID,Destination,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Prince Edward Island, province of destination",Persons,249,units ,0,v466446,1.2,141,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Nova Scotia, province of destination",Persons,249,units ,0,v466451,1.3,1451,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"New Brunswick, province of destination",Persons,249,units ,0,v466452,1.4,1042,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Quebec, province of destination",Persons,249,units ,0,v466453,1.5,1104,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Ontario, province of destination",Persons,249,units ,0,v466454,1.6,6733,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Manitoba, province of destination",Persons,249,units ,0,v466455,1.7,154,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Saskatchewan, province of destination",Persons,249,units ,0,v466456,1.8,78,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Alberta, province of destination",Persons,249,units ,0,v466457,1.9,323,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"British Columbia, province of destination",Persons,249,units ,0,v466458,1.1,465,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Yukon, province of destination",Persons,249,units ,0,v466447,1.11,15,,,,0
1971/1972,"Newfoundland and Labrador, province of origin",2016A000210,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466448,1.12,21,,,t,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466564,2.1,90,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Nova Scotia, province of destination",Persons,249,units ,0,v466569,2.3,864,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"New Brunswick, province of destination",Persons,249,units ,0,v466570,2.4,661,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Quebec, province of destination",Persons,249,units ,0,v466571,2.5,252,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Ontario, province of destination",Persons,249,units ,0,v466572,2.6,1512,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Manitoba, province of destination",Persons,249,units ,0,v466573,2.7,87,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Saskatchewan, province of destination",Persons,249,units ,0,v466574,2.8,64,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Alberta, province of destination",Persons,249,units ,0,v466575,2.9,259,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"British Columbia, province of destination",Persons,249,units ,0,v466576,2.1,150,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Yukon, province of destination",Persons,249,units ,0,v466565,2.11,12,,,,0
1971/1972,"Prince Edward Island, province of origin",2016A000211,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466566,2.12,16,,,t,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466577,3.1,1641,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Prince Edward Island, province of destination",Persons,249,units ,0,v466582,3.2,748,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"New Brunswick, province of destination",Persons,249,units ,0,v466583,3.4,3435,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Quebec, province of destination",Persons,249,units ,0,v466584,3.5,2093,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Ontario, province of destination",Persons,249,units ,0,v466585,3.6,10426,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Manitoba, province of destination",Persons,249,units ,0,v466586,3.7,596,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Saskatchewan, province of destination",Persons,249,units ,0,v466587,3.8,248,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Alberta, province of destination",Persons,249,units ,0,v466588,3.9,1393,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"British Columbia, province of destination",Persons,249,units ,0,v466589,3.1,2589,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Yukon, province of destination",Persons,249,units ,0,v466578,3.11,50,,,,0
1971/1972,"Nova Scotia, province of origin",2016A000212,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466579,3.12,78,,,t,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466590,4.1,1247,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Prince Edward Island, province of destination",Persons,249,units ,0,v466595,4.2,723,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Nova Scotia, province of destination",Persons,249,units ,0,v466596,4.3,3467,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Quebec, province of destination",Persons,249,units ,0,v466597,4.5,3465,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Ontario, province of destination",Persons,249,units ,0,v466598,4.6,8184,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Manitoba, province of destination",Persons,249,units ,0,v466599,4.7,362,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Saskatchewan, province of destination",Persons,249,units ,0,v466600,4.8,190,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Alberta, province of destination",Persons,249,units ,0,v466601,4.9,918,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"British Columbia, province of destination",Persons,249,units ,0,v466602,4.1,1200,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Yukon, province of destination",Persons,249,units ,0,v466591,4.11,20,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466592,4.12,30,,,t,0
1971/1972,"Quebec, province of origin",2016A000224,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466603,5.1,1284,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Prince Edward Island, province of destination",Persons,249,units ,0,v466608,5.2,304,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Nova Scotia, province of destination",Persons,249,units ,0,v466609,5.3,2234,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"New Brunswick, province of destination",Persons,249,units ,0,v466610,5.4,4514,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Ontario, province of destination",Persons,249,units ,0,v466611,5.6,40994,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Manitoba, province of destination",Persons,249,units ,0,v466612,5.7,1869,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Saskatchewan, province of destination",Persons,249,units ,0,v466613,5.8,427,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Alberta, province of destination",Persons,249,units ,0,v466614,5.9,2735,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"British Columbia, province of destination",Persons,249,units ,0,v466615,5.1,5116,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Yukon, province of destination",Persons,249,units ,0,v466604,5.11,66,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466605,5.12,105,,,t,0
1971/1972,"Ontario, province of origin",2016A000235,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466616,6.1,6642,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Prince Edward Island, province of destination",Persons,249,units ,0,v466621,6.2,1728,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Nova Scotia, province of destination",Persons,249,units ,0,v466622,6.3,10716,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"New Brunswick, province of destination",Persons,249,units ,0,v466623,6.4,7912,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Quebec, province of destination",Persons,249,units ,0,v466624,6.5,24347,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Manitoba, province of destination",Persons,249,units ,0,v466625,6.7,8188,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Saskatchewan, province of destination",Persons,249,units ,0,v466626,6.8,2875,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Alberta, province of destination",Persons,249,units ,0,v466627,6.9,11786,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"British Columbia, province of destination",Persons,249,units ,0,v466628,6.1,18476,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Yukon, province of destination",Persons,249,units ,0,v466617,6.11,404,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466618,6.12,632,,,t,0
1971/1972,"Manitoba, province of origin",2016A000246,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466629,7.1,302,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Prince Edward Island, province of destination",Persons,249,units ,0,v466634,7.2,281,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Nova Scotia, province of destination",Persons,249,units ,0,v466635,7.3,500,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"New Brunswick, province of destination",Persons,249,units ,0,v466636,7.4,636,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Quebec, province of destination",Persons,249,units ,0,v466637,7.5,1893,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Ontario, province of destination",Persons,249,units ,0,v466638,7.6,11247,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Saskatchewan, province of destination",Persons,249,units ,0,v466639,7.8,4810,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Alberta, province of destination",Persons,249,units ,0,v466640,7.9,7066,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"British Columbia, province of destination",Persons,249,units ,0,v466641,7.1,7810,,,,0
