CLID1,AVG,STD,CV
101,57.36,9.08,0.158298466
102,57.41,7.73,0.134645532
103,59.26,9.41,0.158791765
104,55.91,9.16,0.163834734
105,56.35,8.43,0.14960071
106,55.19,7.53,0.13643776
107,59.66,8.38,0.140462622
108,66.59,12.36,0.185613455
201,8.9,2.7,0.303370787
202,15.79,3.07,0.194426852
203,16.84,4.42,0.262470309
204,19.44,5.03,0.258744856
205,5.08,1.92,0.377952756
206,11.06,3.55,0.320976492
207,15.58,3.45,0.221437741
301,47.27,8.39,0.177491009
302,46.65,8.41,0.180278671
303,48.55,7.9,0.162718847
304,48.83,8.53,0.174687692
305,52.72,8.5,0.161229135
306,50.8,8.5,0.167322835
307,54.38,8.66,0.159249724
308,54.16,8.93,0.164881832
309,54.62,9.99,0.182900037
401,41.25,12.91,0.312969697
402,37.4,13.02,0.348128342
403,22.58,7.51,0.332595217
404,21.4,8.05,0.376168224
405,20.3,7.46,0.367487685
406,16.91,7.68,0.454169131
407,7.32,3.07,0.419398907
501,15.2,1.94,0.127631579
502,16.44,2.49,0.151459854
503,17.32,2.56,0.147806005
504,16.42,2.47,0.150426309
505,13.74,2.25,0.163755459
601,50.08,6.65,0.13278754
602,50.96,6.75,0.132456829
603,48.32,7.05,0.145902318
701,45.5,7.06,0.155164835
702,45.74,6.82,0.149103629
801,63.13,9.87,0.156344052
802,53.35,6.68,0.125210872
803,51.58,7.18,0.139201241
804,51.08,6.99,0.136844166
805,51.26,7.05,0.13753414
806,59.66,9.13,0.153033859
807,41.67,7.46,0.179025678
901,53.78,8.38,0.155820007
902,55.71,8.28,0.148626817
903,57.38,8.93,0.155629139
904,50.81,7.5,0.147608738
905,47.04,6.49,0.137967687
906,47.06,6.69,0.142158946
907,52.5,8.81,0.167809524
908,49.5,6.72,0.135757576
909,49.33,6.82,0.138252585
1001,28.09,4.35,0.154859381
1002,24.15,3.83,0.158592133
1003,23.82,4.11,0.172544081
1004,25.6,4.43,0.173046875
1005,13.02,2.72,0.20890937
1006,13.23,3.37,0.254724112
1007,10.57,2.51,0.237464522
1008,10.01,1.93,0.192807193
1009,12.23,2.7,0.220768602
1010,16.64,3.38,0.203125
1101,36.63,5.89,0.160797161
1102,37.08,4.82,0.129989213
1103,37.94,7.8,0.20558777
1104,37.39,6.74,0.180262102
1105,38.26,6.04,0.157867224
1106,37.98,6.99,0.184044234
1107,41.34,6.36,0.153846154
1108,43.88,6.81,0.155195989
1109,45.75,6.84,0.149508197
1201,38.65,5.07,0.131177232
1202,38.45,4.58,0.119115735
1203,37.3,4.46,0.119571046
1204,41.19,6.1,0.148094198
1205,41.12,5.59,0.13594358
1206,39.39,5.63,0.142929678
1207,46.34,7.31,0.157747087
1208,46.92,7.45,0.158780904
1209,45.12,6.71,0.148714539
1301,29.44,5.61,0.190557065
1302,33.31,6.1,0.18312819
1303,34.66,5.59,0.161281016
1304,31.6,6.52,0.206329114
1305,34.63,7.52,0.217152758
1306,35.59,7.11,0.199775218
1307,35.22,7.35,0.208688245
1308,36.49,7.35,0.201425048
1309,37.15,7.4,0.199192463
1401,21.66,3.41,0.157433056
1402,27.48,6.44,0.234352256
1403,36.27,8.27,0.228012131
1404,20.66,3.24,0.156824782
1405,29.4,6.35,0.215986395
1406,37.54,8.05,0.214437933
1407,19.84,2.87,0.144657258
1408,28.66,5.05,0.176203768
1409,40.61,7.16,0.176311253
1501,49.64,7.29,0.146857373
1502,50.97,7.33,0.143810084
1503,46.15,6.71,0.14539545
1504,48.94,6.53,0.133428688
1601,52.86,10.25,0.193908437
1602,56.83,9.81,0.172620095
1603,57.55,10.08,0.175152042
1604,56.16,9.27,0.165064103
1605,61.03,8.91,0.145993774
1606,64.05,10.07,0.157220921
1607,61.56,9.17,0.148960364
1608,63.24,9.42,0.148956357
1609,64.27,11.27,0.175353975
1701,39.36,5.12,0.130081301
1702,44.3,6.39,0.144243792
1703,48.57,7.02,0.144533663
1801,44.92,6.91,0.153829029
1802,44.72,6.86,0.153398927
1803,44.75,6.98,0.155977654
1804,44.45,7.33,0.164904387
1805,44.73,7.91,0.176838811
1806,45.51,7.98,0.175346078
1807,40.06,6.08,0.151772341
1808,45.65,5.96,0.130558598
1901,50.43,6.91,0.137021614
1902,47.34,6.49,0.137093367
1903,47.16,6.99,0.14821883
2001,32.85,4.48,0.136377473
2002,31.68,4.33,0.136679293
2003,31.96,3.18,0.099499374
2004,30.17,3.17,0.105071263
2005,34.14,4.63,0.135618043
2006,32.68,4.21,0.128824969
2007,32.08,4.17,0.129987531
2008,37.57,4.31,0.114719191
2009,34.04,3.38,0.099294947
2010,32.86,3.82,0.116250761
2101,22.87,3.72,0.162658505
2102,26.18,3.37,0.128724217
2103,28.57,3.6,0.1260063
2104,24.7,4.94,0.2
2105,28.6,5.26,0.183916084
2106,30.2,4.86,0.160927152
2107,26.85,6.25,0.232774674
2108,30.96,5.96,0.19250646
2109,33.35,5.24,0.157121439
2201,55.1,10.01,0.181669691
2202,56.97,9.58,0.16815868
2203,58.42,10.38,0.177678877
2204,57.17,10.23,0.178940003
2205,58.27,9.76,0.167496139
2206,57.52,11.21,0.194888734
2207,61.37,8.95,0.145836728
2208,62.47,9.36,0.149831919
2209,59.09,8.88,0.150279235
2210,65.68,11.48,0.174786845
2301,38.36,7.81,0.203597497
2302,39.42,7.94,0.201420599
2303,42.25,8.2,0.19408284
2304,44.98,7.64,0.169853268
2305,44.95,8.11,0.180422692
2306,48.11,7.71,0.160257743
2401,19.57,3.14,0.160449668
2402,15.82,2.49,0.157395702
2403,13.49,3.16,0.234247591
2404,15.12,3.02,0.19973545
2405,16.63,2.64,0.158749248
2406,13.05,2.88,0.220689655
2407,14.15,2.92,0.206360424
2501,17.18,2.65,0.154249127
2502,22.74,4.2,0.18469657
2503,27.06,5.68,0.209903917
2505,24.92,4.3,0.172552167
2506,29.58,5.85,0.197768763
2507,20.19,3.16,0.156513125
2508,24.83,4.64,0.186870721
2509,31.03,6.9,0.222365453
2601,9.09,2.6,0.286028603
2602,11.65,2.61,0.224034335
2603,8.63,2.23,0.258400927
2604,6.34,2.45,0.386435331
2701,42.2,5.29,0.12535545
2702,43.98,5.74,0.13051387
2801,49.82,7.44,0.149337615
2802,45.98,6.45,0.140278382
2803,42.96,5.77,0.134310987
2901,11.86,2.26,0.190556492
2902,16.75,2.41,0.143880597
2903,16.79,3.01,0.179273377
2904,14.49,2.35,0.162180814
2905,10.83,2.14,0.197599261
2906,18.42,3,0.16286645
2907,15.03,3.68,0.244843646
2908,12.53,2.53,0.201915403
3001,39.49,5.05,0.127880476
3002,43.89,5.68,0.129414445
3003,45.8,3.99,0.087117904
3004,47.66,7.42,0.15568611
3005,44.59,6.2,0.139044629
3006,45.94,6.14,0.13365259
3007,35.94,5.37,0.149415693
3008,37.68,3.82,0.101380042
