CLID1,AVG,CLID2,STD
0101,57.36,0101,9.08
0102,57.41,0102,7.73
0103,59.26,0103,9.41
0104,55.91,0104,9.16
0105,56.35,0105,8.43
0106,55.19,0106,7.53
0107,59.66,0107,8.38
0108,66.59,0108,12.36
0201,8.90,0201,2.70
0202,15.79,0202,3.07
0203,16.84,0203,4.42
0204,19.44,0204,5.03
0205,5.08,0205,1.92
0206,11.06,0206,3.55
0207,15.58,0207,3.45
0301,47.27,0301,8.39
0302,46.65,0302,8.41
0303,48.55,0303,7.90
0304,48.83,0304,8.53
0305,52.72,0305,8.50
0306,50.80,0306,8.50
0307,54.38,0307,8.66
0308,54.16,0308,8.93
0309,54.62,0309,9.99
0401,41.25,0401,12.91
0402,37.40,0402,13.02
0403,22.58,0403,7.51
0404,21.40,0404,8.05
0405,20.30,0405,7.46
0406,16.91,0406,7.68
0407,7.32,0407,3.07
0501,15.20,0501,1.94
0502,16.44,0502,2.49
0503,17.32,0503,2.56
0504,16.42,0504,2.47
0505,13.74,0505,2.25
0601,50.08,0601,6.65
0602,50.96,0602,6.75
0603,48.32,0603,7.05
0701,45.50,0701,7.06
0702,45.74,0702,6.82
0801,63.13,0801,9.87
0802,53.35,0802,6.68
0803,51.58,0803,7.18
0804,51.08,0804,6.99
0805,51.26,0805,7.05
0806,59.66,0806,9.13
0807,41.67,0807,7.46
0901,53.78,0901,8.38
0902,55.71,0902,8.28
0903,57.38,0903,8.93
0904,50.81,0904,7.50
0905,47.04,0905,6.49
0906,47.06,0906,6.69
0907,52.50,0907,8.81
0908,49.50,0908,6.72
0909,49.33,0909,6.82
1001,28.09,1001,4.35
1002,24.15,1002,3.83
1003,23.82,1003,4.11
1004,25.60,1004,4.43
1005,13.02,1005,2.72
1006,13.23,1006,3.37
1007,10.57,1007,2.51
1008,10.01,1008,1.93
1009,12.23,1009,2.70
1010,16.64,1010,3.38
1101,36.63,1101,5.89
1102,37.08,1102,4.82
1103,37.94,1103,7.80
1104,37.39,1104,6.74
1105,38.26,1105,6.04
1106,37.98,1106,6.99
1107,41.34,1107,6.36
1108,43.88,1108,6.81
1109,45.75,1109,6.84
1201,38.65,1201,5.07
1202,38.45,1202,4.58
1203,37.30,1203,4.46
1204,41.19,1204,6.10
1205,41.12,1205,5.59
